"Adduct","AllGroups","Analog:Adduct","Analog:Compound_Name","Analog:Compound_Source","Analog:Data_Collector","Analog:GNPSLibraryURL","Analog:IIN Best Ion=Library Adduct","Analog:INCHI","Analog:Instrument","Analog:Ion_Source","Analog:IonMode","Analog:Library_Class","Analog:MassDiff","Analog:MQScore","Analog:MZErrorPPM","Analog:PI","Analog:SharedPeaks","Analog:Smiles","Analog:SpectrumID","Analog:tags","ATTRIBUTE_condition","ATTRIBUTE_disease_stage","ATTRIBUTE_host_age_at_sample_collection","ATTRIBUTE_host_subject_id","ATTRIBUTE_timepoint","charge","cluster index","componentindex","Compound_Name","Compound_Source","Data_Collector","DefaultGroups","G1","G2","G3","G4","G5","G6","GNPSGROUP:10N","GNPSGROUP:11B","GNPSGROUP:11L","GNPSGROUP:12.0","GNPSGROUP:12B","GNPSGROUP:12L","GNPSGROUP:12R","GNPSGROUP:13L","GNPSGROUP:13N","GNPSGROUP:14L","GNPSGROUP:14R","GNPSGROUP:15L","GNPSGROUP:16R","GNPSGROUP:17N","GNPSGROUP:17R","GNPSGROUP:18L","GNPSGROUP:18R","GNPSGROUP:19R","GNPSGROUP:20N","GNPSGROUP:21L","GNPSGROUP:21R","GNPSGROUP:22.0","GNPSGROUP:22L","GNPSGROUP:22N","GNPSGROUP:23N","GNPSGROUP:24L","GNPSGROUP:3L","GNPSGROUP:5L","GNPSGROUP:6R","GNPSGROUP:7.0","GNPSGROUP:7L","GNPSGROUP:7N","GNPSGROUP:8L","GNPSGROUP:8N","GNPSGROUP:9aL","GNPSGROUP:9aR","GNPSGROUP:9bB","GNPSGROUP:9bN","GNPSGROUP:9bR","GNPSGROUP:FA","GNPSGROUP:FT","GNPSGROUP:HCC","GNPSGROUP:nan","GNPSGROUP:NASH","GNPSGROUP:TRF","GNPSGROUP:ZT1","GNPSGROUP:ZT13","GNPSLibraryURL","GNPSLinkout_Cluster","GNPSLinkout_Network","IIN Best Ion=Library Adduct","INCHI","Instrument","Ion_Source","IonMode","Library_Class","MassDiff","MQScore","MZErrorPPM","name","neutral M mass","NODE_TYPE","number of spectra","parent mass","PI","precursor mass","RTConsensus","RTMean","selected","shared name","SharedPeaks","Smiles","SpectrumID","sum(precursor intensity)","tags","UniqueFileSources"
"","N/A","","","","","",,"","","","","","","","","","","","","","nan,FT,FA","nan,NASH,TRF,HCC","nan,7.0,12.0,22.0","11L,8N,9bB,22N,12L,9aR,12R,22L,3L,17N,10N,16R,18L,18R,20N,19R,24L,13L,23N,21R,17R,14L,14R,7L,15L,13N,9aL,12B,nan,7N,21L,8L,5L,9bN,6R,11B,9bR","nan,ZT1,ZT13","0","2113","27","","","","N/A","0.0","0.0","0.0","0.0","0.0","0.0","14.729162601432055","135.96291027558067","113.22850325329625","49.892033396331776","182.16857743209704","132.54850994865714","66.30707871773232","12.930286148282633","9.304032152606966","7.225864311767255","7.912507412301744","6.443931087664824","6.24214600045312","10.797234958641937","7.348020419485612","8.65029584975154","10.339487573767697","11.21345823172977","8.53283817417191","112.37319395933673","109.58107899082121","61.76606600366948","93.40330274058306","113.75546578893558","111.42473478863431","112.48690692896866","16.433266694692442","11.339750567984309","13.239571132987477","65.22633624088844","7.699756983194339","8.673165944611254","8.71415164393119","11.78422277018092","8.82398838757913","6.702055703461334","127.25779513486839","125.91164450223968","165.84517282667332","8.766447670458303","10.547133490453177","61.76606600366948","126.93083033587988","49.892033396331776","65.22633624088844","59.30580739923774","58.049501843611324","","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f41b3349635c4db3951083ad68727fc2&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""2113.0"",""main.cluster index_upperinput"":""2113.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=27&task=f41b3349635c4db3951083ad68727fc2&show=true",,"","","","","","","","","2113","0.0","Feature Node","142","427.3208","","427.3208","8.3704","8.3704","false","2113","","","","8383.177853128822","","N/A"
"[M+H]+","N/A","[M+H]+","Suspect related to Spectral Match to Acetyl-DL-carnitine from NIST14 (predicted molecular formula: C23H45NO4) with delta m/z 196.219 (putative explanation: unspecified; atomic difference: unspecified)","Crude","Wout Bittremieux","http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00009990404","false","nan","Orbitrap","ESI","Positive","4","0.00219727","0.858208","5.48844","Pieter Dorrestein","8","nan","CCMSLIB00009990404","nan","nan,FT","nan,NASH,TRF","nan,7.0,12.0","23N,nan,6R,11B","nan,ZT1,ZT13","0","4090","27","Suspect related to Spectral Match to Acetyl-DL-carnitine from NIST14 (predicted molecular formula: C23H45NO4) with delta m/z 196.219 (putative explanation: unspecified; atomic difference: unspecified)","Crude","Wout Bittremieux","N/A","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.020035260142432943","0.0","0.013652831502797114","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.18431322528776103","0.0","0.0","0.0","0.05537668089889606","0.004772360059188097","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.004371843228860216","0.0","0.014533295966197318","0.013652831502797114","0.004772360059188097","0.0023073617041206693","0.012427021188487562","http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00009990404","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f41b3349635c4db3951083ad68727fc2&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""4090.0"",""main.cluster index_upperinput"":""4090.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=27&task=f41b3349635c4db3951083ad68727fc2&show=true","false","nan","Orbitrap","ESI","Positive","4","0.00219727","0.858208","5.48844","4090","0.0","Feature Node","4","400.3418","Pieter Dorrestein","400.3418","7.2166","7.2166","false","4090","8","nan","CCMSLIB00009990404","1.205198695576977","nan","N/A"
"","N/A","","","","","",,"","","","","","","","","","","","","","nan,FT,FA","nan,NASH,TRF,HCC","nan,7.0,12.0,22.0","11L,8N,9bB,22N,12L,9aR,12R,22L,3L,17N,10N,16R,18L,18R,20N,19R,24L,13L,23N,21R,17R,14L,14R,7L,15L,13N,9aL,12B,nan,7N,21L,8L,5L,9bN,6R,11B,9bR","nan,ZT1,ZT13","0","36","27","","","","N/A","0.0","0.0","0.0","0.0","0.0","0.0","575.7465277084982","203.77650874919837","183.29062989942236","325.56922608753894","60.56239376940125","92.28917543853119","35.89347643259531","802.0749438470829","534.1779255910243","340.5828281852707","285.9848256275587","578.0865718192288","361.025681785384","224.99078820792008","349.8853464029945","269.170010190686","317.44933906757547","236.18360858089412","385.18229711401125","52.48384318137405","40.66931274512006","403.8970753470392","44.06415679504963","81.40232847640401","53.72652632909897","60.35721026048484","500.06159051176786","783.1309234480492","564.4861799661344","318.1243378214128","547.4375781636503","567.799397844056","707.2533731302167","768.8862618446142","618.6621227726326","555.7822419257786","83.85859219787542","75.64879225377301","129.72879220345362","482.81163117776356","546.2277606058165","403.8970753470392","94.45852267015778","325.56922608753894","318.1243378214128","327.7000939277181","347.52192390704676","","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f41b3349635c4db3951083ad68727fc2&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""36.0"",""main.cluster index_upperinput"":""36.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=27&task=f41b3349635c4db3951083ad68727fc2&show=true",,"","","","","","","","","36","0.0","Feature Node","149","219.1381","","219.1381","3.374","3.374","false","36","","","","47680.989149741436","","N/A"
"","N/A","","","","","",,"","","","","","","","","","","","","","nan,FT,FA","nan,NASH,TRF,HCC","nan,7.0,12.0,22.0","11L,8N,9bB,22N,12L,9aR,12R,22L,3L,17N,10N,16R,18L,18R,20N,19R,24L,13L,23N,21R,17R,14L,14R,7L,15L,13N,9aL,12B,nan,7N,21L,8L,5L,9bN,6R,11B,9bR","nan,ZT1,ZT13","0","642","27","","","","N/A","0.0","0.0","0.0","0.0","0.0","0.0","73.88601357731051","13.698482328427039","11.546507057214361","43.00686039069599","21.30907159594064","14.148704103523443","10.033408299337056","60.63730861280449","39.11596910196012","49.006933620739204","97.90110489660057","63.591924554090035","58.20482109693376","132.99011661420883","82.75735469356461","100.48496489573496","95.70130619175124","121.73323931277612","89.76058121102926","29.827842796002585","17.48340972617552","75.17458093929093","15.74055226351006","12.138590530486985","17.955416030117657","21.16283080819869","93.51683065653538","83.8897946539705","57.430289822590964","55.561396298180455","72.57467085024173","91.366229729591","77.86989846377412","84.80997207304362","70.18987691487726","113.97472347769757","17.111599110281936","13.6924567402198","19.275543413958854","92.84778356974364","68.46810689918163","75.17458093929093","16.926735340875315","43.00686039069599","55.561396298180455","55.16696289356258","53.82241443496754","","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f41b3349635c4db3951083ad68727fc2&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""642.0"",""main.cluster index_upperinput"":""642.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=27&task=f41b3349635c4db3951083ad68727fc2&show=true",,"","","","","","","","","642","0.0","Feature Node","142","418.344","","418.344","9.6499","9.6499","false","642","","","","7701.747222016681","","N/A"
"","N/A","","","","","",,"","","","","","","","","","","","","","nan,FT,FA","nan,NASH,TRF,HCC","nan,7.0,12.0,22.0","11L,8N,9bB,22N,12L,9aR,12R,22L,3L,17N,10N,16R,18L,18R,20N,19R,24L,13L,23N,21R,17R,14L,14R,7L,15L,13N,9aL,12B,nan,7N,21L,8L,5L,9bN,6R,11B,9bR","nan,ZT1,ZT13","0","328","27","","","","N/A","0.0","0.0","0.0","0.0","0.0","0.0","341.494882847476","62.60951148027275","62.99032302978832","307.6677835193845","67.97778292167541","91.12149523278013","53.411245163343764","195.69763762475333","160.47362861231295","147.83799183367873","382.2059950478607","256.4247829532682","141.81713027957593","1351.740828349868","485.6526503597414","884.8684707311312","978.4459001875939","789.2910457196338","705.2088803614754","91.68183142599153","87.80053466278369","450.13737152683746","77.8155232619684","67.68412377561664","80.13082962219137","93.2653738009813","465.8427779848157","336.52881367318065","198.89465793544915","251.70293608922157","499.0378958929292","691.5482234313878","424.585743517919","515.6047802058393","429.9883761231395","482.5437171000736","57.78383006996623","53.939089624673194","84.62336590393174","667.6278561050605","266.3239738988982","450.13737152683746","74.13574287870978","307.6677835193845","251.70293608922157","278.65192067901364","345.02909011211136","","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f41b3349635c4db3951083ad68727fc2&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""328.0"",""main.cluster index_upperinput"":""328.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=27&task=f41b3349635c4db3951083ad68727fc2&show=true",,"","","","","","","","","328","0.0","Feature Node","142","446.3751","","446.3751","10.17","10.17","false","328","","","","44012.7034495253","","N/A"
"","N/A","","","","","",,"","","","","","","","","","","","","","nan,FT,FA","nan,NASH,TRF,HCC","nan,7.0,12.0,22.0","11L,8N,9bB,22N,12L,9aR,12R,22L,3L,17N,10N,16R,18L,18R,20N,19R,24L,13L,23N,21R,17R,14L,14R,7L,15L,13N,9aL,12B,nan,7N,21L,8L,5L,9bN,6R,11B,9bR","nan,ZT1,ZT13","0","1672","27","","","","N/A","0.0","0.0","0.0","0.0","0.0","0.0","22.80643328988194","8.57928274602672","10.396599477733854","15.155130400996716","18.108898933409304","14.471470008238596","21.086955032661802","3.6985905637634846","26.446739991171228","69.5134067721393","83.0202748334925","28.17270078431051","80.85743250323988","47.45247727806777","35.31199405197123","60.81979859357182","14.69565660816097","10.412349602310535","33.449883817956064","14.030940511410359","9.873423684524452","17.189803533969688","13.672623278903666","5.91978905835039","8.751663995667245","10.338144916794159","47.96232048114515","15.28424306849399","24.396256306863016","32.65531858707589","14.912031206418863","21.6634523685519","8.484801942734762","10.536498515117987","15.824886722787607","11.049201886044585","9.514992888186901","9.336092808339636","10.970810697612446","24.682436147934844","38.85485083232733","17.189803533969688","11.51371746030485","15.155130400996716","32.65531858707589","23.483782623720995","22.47809425199487","","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f41b3349635c4db3951083ad68727fc2&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""1672.0"",""main.cluster index_upperinput"":""1672.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=27&task=f41b3349635c4db3951083ad68727fc2&show=true",,"","","","","","","","","1672","0.0","Feature Node","142","640.4424","","640.4424","8.5624","8.5624","false","1672","","","","3260.1206300707663","","N/A"
"","N/A","","","","","",,"","","","","","","","","","","","","","nan,FT,FA","nan,NASH,TRF,HCC","nan,7.0,12.0,22.0","11L,8N,9bB,22N,12L,9aR,12R,22L,3L,17N,10N,16R,18L,18R,20N,19R,24L,13L,23N,21R,17R,14L,14R,7L,15L,13N,9aL,12B,nan,7N,21L,8L,5L,9bN,6R,11B,9bR","nan,ZT1,ZT13","0","2694","27","","","","N/A","0.0","0.0","0.0","0.0","0.0","0.0","99.60170748667284","57.8799790280484","55.64730729246459","63.873870201334654","65.22762103940454","66.52630493733312","57.44526971180517","73.45809291510356","58.5676206546629","62.71431431532551","56.70002924571575","48.12987745117171","55.63305477079921","78.65285214279136","74.71980054249534","82.23460640228666","53.40448032434723","39.57914902995959","92.8626863233741","50.16225872566058","33.300537680553894","106.41953499308234","33.716672859803055","42.86812773950103","48.21363995847444","35.69516313983138","91.9595081383437","87.72157792895476","71.33367388388241","68.18474840438512","128.4127322965297","149.98422622392889","101.88006988334712","144.0744835803701","107.72548449732217","96.44312524189759","43.56189685192854","46.52854416902717","87.12799101462656","103.5665190970159","72.2711517281422","106.41953499308234","52.71814803407286","63.873870201334654","68.18474840438512","63.34206361271997","84.82569217148644","","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f41b3349635c4db3951083ad68727fc2&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""2694.0"",""main.cluster index_upperinput"":""2694.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=27&task=f41b3349635c4db3951083ad68727fc2&show=true",,"","","","","","","","","2694","0.0","Feature Node","143","414.1948","","414.1948","4.391","4.391","false","2694","","","","10441.054047200774","","N/A"
"","N/A","","","","","",,"","","","","","","","","","","","","","nan,FT,FA","nan,NASH,TRF,HCC","nan,7.0,12.0,22.0","11L,8N,9bB,22N,12L,9aR,12R,22L,3L,17N,10N,16R,18L,18R,20N,19R,24L,13L,23N,21R,17R,14L,14R,7L,15L,13N,9aL,12B,nan,7N,21L,8L,5L,9bN,6R,11B,9bR","nan,ZT1,ZT13","0","4143","27","","","","N/A","0.0","0.0","0.0","0.0","0.0","0.0","71.49215397604364","8.796394188162017","8.9442293025726","38.67501016190133","11.386645601985538","11.128367009373212","9.041569834668858","55.700634490240084","39.79916983255282","60.45626444014539","64.24727213813858","42.70654463920726","41.584020332155234","90.43893980671132","56.58030507234099","87.64940771207284","75.64985044596003","82.10040914918827","77.26604285219226","8.817905532008794","9.532598642309791","57.898734829429124","9.920802350433865","6.416584117120181","5.527016712750431","9.49102671176922","78.25727202924811","62.83287246709024","49.82590558530941","42.65625822138147","79.98035527005086","94.19158090394005","76.92214755458647","75.53500920886337","71.3210970178662","72.4840931317634","8.89838444198015","9.094730204322335","12.365382316503766","79.10170333869713","57.28779169882259","57.898734829429124","9.384421202749392","38.67501016190133","42.65625822138147","41.659453125864204","46.54509068634672","","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f41b3349635c4db3951083ad68727fc2&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""4143.0"",""main.cluster index_upperinput"":""4143.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=27&task=f41b3349635c4db3951083ad68727fc2&show=true",,"","","","","","","","","4143","0.0","Feature Node","142","452.3734","","452.3734","8.6923","8.6923","false","4143","","","","6225.6599383260955","","N/A"
"","N/A","","","","","",,"","","","","","","","","","","","","","nan,FT,FA","nan,NASH,TRF,HCC","nan,7.0,12.0,22.0","11L,8N,9bB,22N,12L,9aR,12R,22L,3L,17N,10N,16R,18L,18R,20N,19R,24L,13L,23N,21R,17R,14L,14R,7L,15L,13N,9aL,12B,nan,7N,21L,8L,5L,9bN,6R,11B,9bR","nan,ZT1,ZT13","0","348","27","","","","N/A","0.0","0.0","0.0","0.0","0.0","0.0","59.735587214101415","6.524629434883646","8.115733732807909","26.554723982862644","15.347519337020577","7.023177723117715","1.8915016796733706","16.74140091916059","10.90206407262391","9.195309289418036","28.851012095088784","21.114757116643894","9.014996808885115","113.78186554320084","43.69979159050714","82.26313989331315","117.22947870101781","59.956036595668536","76.32554576936839","18.761947248517238","24.573153316206998","42.553664717774424","24.12154486860422","14.16186930021753","10.371592685993855","20.4712540560239","121.34274839895139","29.786202160017336","45.63539294251486","31.753123023602342","41.49457284698595","53.44901862351874","20.481071460293474","29.157309971083983","29.23117103036396","26.513469888390304","10.305825988935226","7.1602372867219035","9.292636855409135","55.21855185567737","34.345085715142574","42.553664717774424","12.768845509244247","26.554723982862644","31.753123023602342","36.00305844041633","27.47639443711097","","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f41b3349635c4db3951083ad68727fc2&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""348.0"",""main.cluster index_upperinput"":""348.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=27&task=f41b3349635c4db3951083ad68727fc2&show=true",,"","","","","","","","","348","0.0","Feature Node","142","460.3544","","460.3544","9.9207","9.9207","false","348","","","","4501.557267281846","","N/A"
"M+H","N/A","M+H","Massbank:RP025402 Tetradecanoyl-L-Carnitine|L-Myristoylcarnitine|(3R)-3-tetradecanoyloxy-4-(trimethylazaniumyl)butanoate","Isolated","Massbank","http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00005738576","false","1S/C21H41NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-21(25)26-19(17-20(23)24)18-22(2,3)4/h19H,5-18H2,1-4H3/t19-/m1/s1","qTof","ESI","Positive","3","9.15527e-05","0.9501430000000001","0.24590399999999998","Massbank","6","CCCCCCCCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C","CCMSLIB00005738576","nan","nan,FT,FA","nan,NASH,TRF,HCC","nan,7.0,12.0,22.0","11L,8N,9bB,22N,12L,9aR,12R,22L,3L,17N,10N,16R,18L,18R,20N,19R,24L,13L,23N,21R,17R,14L,14R,7L,15L,13N,9aL,12B,nan,7N,21L,8L,5L,9bN,6R,11B,9bR","nan,ZT1,ZT13","0","849","27","Massbank:RP025402 Tetradecanoyl-L-Carnitine|L-Myristoylcarnitine|(3R)-3-tetradecanoyloxy-4-(trimethylazaniumyl)butanoate","Isolated","Massbank","N/A","0.0","0.0","0.0","0.0","0.0","0.0","51.477440880403186","87.17122584233189","71.15847707987801","53.27670486906587","78.26693437906685","105.07379227188427","116.152731210727","39.08334278686492","55.3885790654404","156.5974003547257","138.0388850659682","22.562359829636158","92.73003864266474","43.448767188716566","53.69232459087865","92.19978427899854","40.154811941492234","42.64059281526723","43.84085475190722","17.77686339108478","49.35545650181729","77.573107324588","34.59201779728555","20.96822883284295","32.38398476763227","121.92175982421263","66.57668163766125","42.84257008247826","100.71508070588655","76.1606345408329","58.50269747418947","44.699423205999565","75.84174519926994","88.89890315119719","39.68593673088538","54.35648241079997","107.24350263793224","95.88084717360519","75.12491614438322","56.84650500576033","73.72130336816988","77.573107324588","71.83725906609315","53.27670486906587","76.1606345408329","57.109372521049586","78.68375669025849","http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00005738576","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=f41b3349635c4db3951083ad68727fc2&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""849.0"",""main.cluster index_upperinput"":""849.0""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=27&task=f41b3349635c4db3951083ad68727fc2&show=true","false","1S/C21H41NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-21(25)26-19(17-20(23)24)18-22(2,3)4/h19H,5-18H2,1-4H3/t19-/m1/s1","qTof","ESI","Positive","3","9.15527e-05","0.9501430000000001","0.24590399999999998","849","0.0","Feature Node","149","372.3111","Massbank","372.3111","7.3315","7.3315","false","849","6","CCCCCCCCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C","CCMSLIB00005738576","9584.099844707525","nan","N/A"
